omegaA,omegaB,L_value
0.34551072945922184,0.010635449574860113,0.0
0.3563193971228586,0.010635449574860113,0.0
0.367466194073669,0.010635449574860113,0.0
0.3789616980644718,0.010635449574860113,0.0
0.3908168177536266,0.010635449574860113,0.0
0.40304280305680523,0.010635449574860113,0.0
0.415651255822599,0.010635449574860113,0.0
0.42865414084209275,0.010635449574860113,0.0
0.4420637972028532,0.010635449574860113,0.0
0.45589294999810615,0.010635449574860113,0.0
0.47015472240221323,0.010635449574860113,0.0
0.48486264812390806,0.010635449574860113,0.0
0.5000306842491092,0.010635449574860113,0.0
0.5156732244854966,0.010635449574860113,0.0
0.53180511282142,0.010635449574860113,0.0
0.5484416576121018,0.010635449574860113,0.0
0.5655986461065005,0.010635449574860113,0.0
0.5832923594286203,0.010635449574860113,0.0
0.6015395880274835,0.010635449574860113,0.0
0.6203576476104271,0.010635449574860113,0.0
0.6397643955748427,0.010635449574860113,0.0
0.6597782479539537,0.010635449574860113,0.0
0.6804181968927098,0.010635449574860113,0.0
0.7017038286703826,0.010635449574860113,0.0
0.7236553422869654,0.010635449574860113,0.0
0.7462935686310134,0.010635449574860113,0.0
0.7696399902471158,0.010635449574860113,0.0
0.7937167617217551,0.010635449574860113,0.0
0.8185467307069029,0.010635449574860113,0.0
0.8441534596012985,0.010635449574860113,0.0
0.8705612479099865,0.010635449574860113,0.0
0.8977951553033323,0.010635449574860113,0.0
0.9258810253973955,0.010635449574860113,0.0
0.9548455102782294,0.010635449574860113,0.0
0.9847160957933774,0.010635449574860113,0.0
1.0155211276345681,0.010635449574860113,0.0
1.0472898382363585,0.010635449574860113,0.0
1.080052374516253,0.010635449574860113,0.0
1.1138398264826195,0.010635449574860113,0.0
1.1486842567375537,0.010635449574860113,0.0
1.1846187309026837,0.010635449574860113,0.0
1.2216773489967918,0.010635449574860113,0.0
1.2598952777950272,0.010635449574860113,0.0
1.2993087842004158,0.010635449574860113,0.0
1.3399552696593384,0.010635449574860113,0.0
1.381873305653632,0.010635449574860113,0.0
1.4251026703029979,0.010635449574860113,0.0
1.469684386112446,0.010635449574860113,0.0
1.5156607589006028,0.010635449574860113,0.0
1.5630754179458157,0.010635449574860113,0.0
1.6119733573881572,0.010635449574860113,0.0
1.6624009789266119,0.010635449574860113,0.0
1.7144061358519702,0.010635449574860113,0.0
1.7680381784572068,0.010635449574860113,0.0
1.8233480008684404,0.010635449574860113,0.0
1.8803880893409146,0.010635449574860113,0.0
1.939212572065829,0.010635449574860113,0.0
1.999877270535285,0.010635449574860113,0.0
2.0624397525140905,0.010635449574860113,0.0
2.1269593866686898,0.010635449574860113,0.0
2.1934973989050577,0.010635449574860113,0.0
2.2621169304690243,0.010635449574860113,0.0
2.3328830978641557,0.010635449574860113,0.0
2.4058630546440645,0.010635449574860113,0.0
2.481126055137768,0.010635449574860113,0.0
2.5587435201685893,0.010635449574860113,0.0
2.6387891048289345,0.010635449574860113,0.0
2.7213387683753085,0.010635449574860113,0.0
2.8064708463098387,0.010635449574860113,0.0
2.8942661247167516,0.010635449574860113,0.0
2.9848079169243276,0.010635449574860113,0.0
3.07818214256508,0.010635449574860113,0.0
3.1744774091091936,0.010635449574860113,0.0
3.2737850959485773,0.010635449574860113,0.0
3.37619944111134,0.010635449574860113,0.0
3.4818176306889663,0.010635449574860113,0.0
3.590739891061055,0.010635449574860113,0.0
3.7030695840051413,0.010635449574860113,0.0
3.818913304781854,0.010635449574860113,0.0
3.938380983288489,0.010635449574860113,0.0
4.061585988376979,0.010635449574860113,0.0
4.188645235435271,0.010635449574860113,0.0
4.319679297334174,0.010635449574860113,0.0
4.454812518844989,0.010635449574860113,0.0
4.594173134636477,0.010635449574860113,0.0
4.737893390963144,0.010635449574860113,0.0
4.886109671160326,0.010635449574860113,0.0
5.0389626250651505,0.010635449574860113,0.0
5.196597302486198,0.010635449574860113,0.0
5.359163290848515,0.010635449574860113,0.0
5.526814857144603,0.010635449574860113,0.0
5.699711094326076,0.010635449574860113,0.0
5.878016072274912,0.010635449574860113,0.0
6.061898993497572,0.010635449574860113,0.0
6.251534353689712,0.010635449574860113,0.0
6.44710210732387,0.010635449574860113,0.0
6.648787838417263,0.010635449574860113,0.0
6.856782936641738,0.010635449574860113,0.0
7.071284778942996,0.010635449574860113,0.0
7.292496916841444,0.010635449574860113,0.0
7.520629269592407,0.010635449574860113,0.0
7.755898323389002,0.010635449574860113,0.0
7.998527336796708,0.010635449574860113,0.0
8.24874655261458,0.010635449574860113,0.0
8.506793416364154,0.010635449574860113,0.0
8.772912801613357,0.010635449574860113,0.0
9.047357242349293,0.010635449574860113,0.0
9.33038717262036,0.010635449574860113,0.0
9.622271173675134,0.010635449574860113,0.0
9.923286228832545,0.010635449574860113,0.0
10.233717986325193,0.010635449574860113,0.0
10.55386103036523,0.010635449574860113,0.0
10.884019160690055,0.010635449574860113,0.0
11.224505680853058,0.010635449574860113,0.0
11.575643695533035,0.010635449574860113,0.0
11.937766417144358,0.010635449574860113,0.0
12.311217482038908,0.010635449574860113,0.0
12.69635127659974,0.010635449574860113,0.0
13.093533273536108,0.010635449574860113,0.0
13.503140378698735,0.010635449574860113,0.0
13.925561288744634,0.010635449574860113,0.0
14.361196859990788,0.010635449574860113,1.0
14.810460488806754,0.010635449574860113,1.0
15.27377850390714,0.010635449574860113,1.0
15.751590570916228,0.010635449574860113,1.0
16.24435010958867,0.010635449574860113,1.0
16.752524724082154,0.010635449574860113,1.0
17.276596646690365,0.010635449574860113,1.0
17.817063195457308,0.010635449574860113,1.0
18.374437246107266,0.010635449574860113,1.0
18.949247718738217,0.010635449574860113,1.0
19.542040079740534,0.010635449574860113,1.0
20.15337685941733,0.010635449574860113,1.0
20.783838185797574,0.010635449574860113,1.0
21.434022335148565,0.010635449574860113,1.0
22.104546299710215,0.010635449574860113,1.0
22.796046373189796,0.010635449574860113,1.0
23.50917875457287,0.010635449574860113,1.0
24.244620170823282,0.010635449574860113,1.0
25.003068519063238,0.010635449574860113,1.0
25.785243528842738,0.010635449574860113,1.0
26.591887445126936,0.010635449574860113,1.0
27.423765732649496,0.010635449574860113,1.0
28.281667802300323,0.010635449574860113,1.0
29.16640776023704,0.010635449574860113,1.0
30.07882518043099,0.010635449574860113,1.0
31.019785901380967,0.010635449574860113,1.0
31.99018284775064,0.010635449574860113,1.0
32.99093687770939,0.010635449574860113,1.0
34.02299765678068,0.010635449574860113,1.0
35.087344559027116,0.010635449574860113,1.0
36.18498759642746,0.010635449574860113,1.0
37.31696837732752,0.010635449574860113,1.0
38.48436109487429,0.010635449574860113,1.0
39.68827354637162,0.010635449574860113,1.0
40.92984818452438,0.010635449574860113,1.0
42.210263201568985,0.010635449574860113,1.0
43.530733647318876,0.010635449574860113,1.0
44.89251258218603,0.010635449574860113,1.0
46.29689226627263,0.010635449574860113,1.0
47.745205385661265,0.010635449574860113,1.0
49.238826317067364,0.010635449574860113,1.0
50.77917243205398,0.010635449574860113,1.0
52.3677054420465,0.010635449574860113,1.0
54.00593278542368,0.010635449574860113,1.0
55.6954090580013,0.010635449574860113,1.0
57.43773748826581,0.010635449574860113,1.0
59.23457145875806,0.010635449574860113,1.0
61.0876160750504,0.010635449574860113,1.0
62.99862978380693,0.010635449574860113,1.0
64.96942604146125,0.010635449574860113,1.0
67.0018750350959,0.010635449574860113,1.0
69.09790545715646,0.010635449574860113,1.0
71.25950633568411,0.010635449574860113,1.0
73.48872892180388,0.010635449574860113,1.0
75.7876886362593,0.010635449574860113,1.0
78.15856707684091,0.010635449574860113,1.0
80.60361408861345,0.010635449574860113,1.0
83.12514989890632,0.010635449574860113,1.0
85.72556731909324,0.010635449574860113,1.0
88.40733401525063,0.010635449574860113,1.0
91.17299484984922,0.010635449574860113,1.0
94.02517429670132,0.010635449574860113,1.0
96.9665789314552,0.010635449574860113,1.0
100.0,0.010635449574860113,1.0
0.01,0.01096816005273138,0.0
0.010312831606721848,0.01096816005273138,0.0
0.010635449574860113,0.01096816005273138,0.0
0.01096816005273138,0.01096816005273138,0.0
0.011311278765939214,0.01096816005273138,0.0
0.011665131316981962,0.01096816005273138,0.0
0.012030053494233242,0.01096816005273138,0.0
0.012406391590588319,0.01096816005273138,0.0
0.012794502732078734,0.01096816005273138,0.0
0.01319475521676706,0.01096816005273138,0.0
0.013607528864243332,0.01096816005273138,0.0
0.014033215376054847,0.01096816005273138,0.0
0.014472218707411343,0.01096816005273138,0.0
0.014924955450518291,0.01096816005273138,0.0
0.015391855229902053,0.01096816005273138,0.0
0.015873361110102097,0.01096816005273138,0.0
0.016369930016117026,0.01096816005273138,0.0
0.016882033167003634,0.01096816005273138,0.0
0.017410156523040163,0.01096816005273138,0.0
0.017954801246878312,0.01096816005273138,0.0
0.01851648417912155,0.01096816005273138,0.0
0.019095738328780976,0.01096816005273138,0.0
0.01969311337907423,0.01096816005273138,0.0
0.020309176209047358,0.01096816005273138,0.0
0.020944511431514698,0.01096816005273138,0.0
0.021599721947827184,0.01096816005273138,0.0
0.022275429519995574,0.01096816005273138,0.0
0.022972275360711523,0.01096816005273138,0.0
0.023690920741826334,0.01096816005273138,0.0
0.02443204762186488,0.01096816005273138,0.0
0.02519635929317015,0.01096816005273138,0.0
0.025984581049292486,0.01096816005273138,0.0
0.02679746087325691,0.01096816005273138,0.0
0.02763577014736159,0.01096816005273138,0.0
0.028500304385181068,0.01096816005273138,0.0
0.02939188398646886,0.01096816005273138,0.0
0.030311355015675792,0.01096816005273138,0.0
0.03125959000482281,0.01096816005273138,0.0
0.032237488781490305,0.01096816005273138,0.0
0.03324597932270942,0.01096816005273138,0.0
0.034286018635565865,0.01096816005273138,0.0
0.035358593665351795,0.01096816005273138,0.0
0.03646472223212749,0.01096816005273138,0.0
0.03760545399658172,0.01096816005273138,0.0
0.03878187145610724,0.01096816005273138,0.0
0.039995090972036657,0.01096816005273138,0.0
0.04124626382901352,0.01096816005273138,0.0
0.04253657732750387,0.01096816005273138,0.0
0.04386725591048499,0.01096816005273138,0.0
0.04523956232538053,0.01096816005273138,0.0
0.04665479882234473,0.01096816005273138,0.0
0.0481143083900326,0.01096816005273138,0.0
0.04961947603002903,0.01096816005273138,0.0
0.051171730071146046,0.01096816005273138,0.0
0.052772543524835375,0.01096816005273138,0.0
0.054423435483002665,0.01096816005273138,0.0
0.056125972559549715,0.01096816005273138,0.0
0.05788177037701274,0.01096816005273138,0.0
0.05969249509970733,0.01096816005273138,0.0
0.061559865014835076,0.01096816005273138,0.0
0.06348565216305217,0.01096816005273138,0.0
0.06547168402004737,0.01096816005273138,0.0
0.06751984523072502,0.01096816005273138,0.0
0.06963207939763882,0.01096816005273138,0.0
0.07181039092537349,0.01096816005273138,0.0
0.07405684692262435,0.01096816005273138,0.0
0.0763735791637802,0.01096816005273138,0.0
0.07876278611187056,0.01096816005273138,0.0
0.08122673500479712,0.01096816005273138,0.0
0.08376776400682916,0.01096816005273138,0.0
0.08638828442740444,0.01096816005273138,0.0
0.08909078300934138,0.01096816005273138,0.0
0.09187782428863335,0.01096816005273138,0.0
0.09475205302806543,0.01096816005273138,0.0
0.09771619672696176,0.01096816005273138,0.0
0.10077306820944612,0.01096816005273138,0.0
0.10392556829367126,0.01096816005273138,0.0
0.10717668854455029,0.01096816005273138,0.0
0.11052951411260215,0.01096816005273138,0.0
0.1139872266616052,0.01096816005273138,0.0
0.11755310738783693,0.01096816005273138,0.0
0.12123054013376522,0.01096816005273138,0.0
0.12502301459914553,0.01096816005273138,0.0
0.1289341296525715,0.01096816005273138,0.0
0.1329675967466212,0.01096816005273138,0.0
0.13712724343984,0.01096816005273138,0.0
0.14141701702890233,0.01096816005273138,0.0
0.14584098829439857,0.01096816005273138,0.0
0.15040335536380245,0.01096816005273138,0.0
0.15510844769528398,0.01096816005273138,0.0
0.1599607301861488,0.01096816005273138,0.0
0.16496480740980207,0.01096816005273138,0.0
0.17012542798525893,0.01096816005273138,0.0
0.17544748908334595,0.01096816005273138,0.0
0.18093604107387165,0.01096816005273138,0.0
0.1865962923181746,0.01096816005273138,0.0
0.192433614111598,0.01096816005273138,0.0
0.19845354578058033,0.01096816005273138,0.0
0.20466179993919897,0.01096816005273138,0.0
0.21106426791015548,0.01096816005273138,0.0
0.2176670253153459,0.01096816005273138,0.0
0.22447633784132237,0.01096816005273138,0.0
0.23149866718511608,0.01096816005273138,0.0
0.2387406771860647,0.01096816005273138,0.0
0.24620924014946255,0.01096816005273138,0.0
0.25391144336803473,0.01096816005273138,0.0
0.26185459584742327,0.01096816005273138,0.0
0.2700462352420682,0.01096816005273138,0.0
0.2784941350080644,0.01096816005273138,0.0
0.28720631177978284,0.01096816005273138,0.0
0.29619103297725535,0.01096816005273138,0.0
0.30545682465154317,0.01096816005273138,0.0
0.3150124795755328,0.01096816005273138,0.0
0.32486706558783746,0.01096816005273138,0.0
0.335029934197723,0.01096816005273138,0.0
0.34551072945922184,0.01096816005273138,0.0
0.3563193971228586,0.01096816005273138,0.0
0.367466194073669,0.01096816005273138,0.0
0.3789616980644718,0.01096816005273138,0.0
0.3908168177536266,0.01096816005273138,0.0
0.40304280305680523,0.01096816005273138,0.0
0.415651255822599,0.01096816005273138,0.0
0.42865414084209275,0.01096816005273138,0.0
0.4420637972028532,0.01096816005273138,0.0
0.45589294999810615,0.01096816005273138,0.0
0.47015472240221323,0.01096816005273138,0.0
0.48486264812390806,0.01096816005273138,0.0
0.5000306842491092,0.01096816005273138,0.0
0.5156732244854966,0.01096816005273138,0.0
0.53180511282142,0.01096816005273138,0.0
0.5484416576121018,0.01096816005273138,0.0
0.5655986461065005,0.01096816005273138,0.0
0.5832923594286203,0.01096816005273138,0.0
0.6015395880274835,0.01096816005273138,0.0
0.6203576476104271,0.01096816005273138,0.0
0.6397643955748427,0.01096816005273138,0.0
0.6597782479539537,0.01096816005273138,0.0
0.6804181968927098,0.01096816005273138,0.0
0.7017038286703826,0.01096816005273138,0.0
0.7236553422869654,0.01096816005273138,0.0
0.7462935686310134,0.01096816005273138,0.0
0.7696399902471158,0.01096816005273138,0.0
0.7937167617217551,0.01096816005273138,0.0
0.8185467307069029,0.01096816005273138,0.0
0.8441534596012985,0.01096816005273138,0.0
0.8705612479099865,0.01096816005273138,0.0
0.8977951553033323,0.01096816005273138,0.0
0.9258810253973955,0.01096816005273138,0.0
0.9548455102782294,0.01096816005273138,0.0
0.9847160957933774,0.01096816005273138,0.0
1.0155211276345681,0.01096816005273138,0.0
1.0472898382363585,0.01096816005273138,0.0
1.080052374516253,0.01096816005273138,0.0
1.1138398264826195,0.01096816005273138,0.0
1.1486842567375537,0.01096816005273138,0.0
1.1846187309026837,0.01096816005273138,0.0
1.2216773489967918,0.01096816005273138,0.0
1.2598952777950272,0.01096816005273138,0.0
1.2993087842004158,0.01096816005273138,0.0
1.3399552696593384,0.01096816005273138,0.0
1.381873305653632,0.01096816005273138,0.0
1.4251026703029979,0.01096816005273138,0.0
1.469684386112446,0.01096816005273138,0.0
1.5156607589006028,0.01096816005273138,0.0
1.5630754179458157,0.01096816005273138,0.0
1.6119733573881572,0.01096816005273138,0.0
1.6624009789266119,0.01096816005273138,0.0
1.7144061358519702,0.01096816005273138,0.0
1.7680381784572068,0.01096816005273138,0.0
1.8233480008684404,0.01096816005273138,0.0
1.8803880893409146,0.01096816005273138,0.0
1.939212572065829,0.01096816005273138,0.0
1.999877270535285,0.01096816005273138,0.0
2.0624397525140905,0.01096816005273138,0.0
2.1269593866686898,0.01096816005273138,0.0
2.1934973989050577,0.01096816005273138,0.0
2.2621169304690243,0.01096816005273138,0.0
2.3328830978641557,0.01096816005273138,0.0
2.4058630546440645,0.01096816005273138,0.0
2.481126055137768,0.01096816005273138,0.0
2.5587435201685893,0.01096816005273138,0.0
2.6387891048289345,0.01096816005273138,0.0
2.7213387683753085,0.01096816005273138,0.0
2.8064708463098387,0.01096816005273138,0.0
2.8942661247167516,0.01096816005273138,0.0
2.9848079169243276,0.01096816005273138,0.0
3.07818214256508,0.01096816005273138,0.0
3.1744774091091936,0.01096816005273138,0.0
3.2737850959485773,0.01096816005273138,0.0
3.37619944111134,0.01096816005273138,0.0
3.4818176306889663,0.01096816005273138,0.0
3.590739891061055,0.01096816005273138,0.0
3.7030695840051413,0.01096816005273138,0.0
3.818913304781854,0.01096816005273138,0.0
3.938380983288489,0.01096816005273138,0.0
4.061585988376979,0.01096816005273138,0.0
4.188645235435271,0.01096816005273138,0.0
4.319679297334174,0.01096816005273138,0.0
4.454812518844989,0.01096816005273138,0.0
4.594173134636477,0.01096816005273138,0.0
4.737893390963144,0.01096816005273138,0.0
4.886109671160326,0.01096816005273138,0.0
5.0389626250651505,0.01096816005273138,0.0
5.196597302486198,0.01096816005273138,0.0
5.359163290848515,0.01096816005273138,0.0
5.526814857144603,0.01096816005273138,0.0
5.699711094326076,0.01096816005273138,0.0
5.878016072274912,0.01096816005273138,0.0
6.061898993497572,0.01096816005273138,0.0
6.251534353689712,0.01096816005273138,0.0
6.44710210732387,0.01096816005273138,0.0
6.648787838417263,0.01096816005273138,0.0
6.856782936641738,0.01096816005273138,0.0
7.071284778942996,0.01096816005273138,0.0
7.292496916841444,0.01096816005273138,0.0
7.520629269592407,0.01096816005273138,0.0
7.755898323389002,0.01096816005273138,0.0
7.998527336796708,0.01096816005273138,0.0
8.24874655261458,0.01096816005273138,0.0
8.506793416364154,0.01096816005273138,0.0
8.772912801613357,0.01096816005273138,0.0
9.047357242349293,0.01096816005273138,0.0
9.33038717262036,0.01096816005273138,0.0
9.622271173675134,0.01096816005273138,0.0
9.923286228832545,0.01096816005273138,0.0
10.233717986325193,0.01096816005273138,0.0
10.55386103036523,0.01096816005273138,0.0
10.884019160690055,0.01096816005273138,0.0
11.224505680853058,0.01096816005273138,0.0
11.575643695533035,0.01096816005273138,0.0
11.937766417144358,0.01096816005273138,0.0
12.311217482038908,0.01096816005273138,0.0
12.69635127659974,0.01096816005273138,0.0
13.093533273536108,0.01096816005273138,0.0
